ds,y,yhat_arima,lower_bound_arima,upper_bound_arima,yhat_prophet,lower_bound_prophet,upper_bound_prophet,yhat_ensemble
1960-01-01,24200001500.0,-1965502887.716137,-156489065121.43088,152558059345.99863,34419388388.12998,-58530682889.6693,140661142791.82446,16226942750.206923
1961-01-01,24700000300.0,30810668818.84889,-93141207759.95479,154762545397.65256,11933069171.170118,-100957409133.7909,119918145062.28633,21371868995.009502
1962-01-01,24600000500.0,36212505475.26361,-87739371103.54004,160164382054.06726,26388907853.79307,-76734417487.7263,140541415374.84546,31300706664.528343
1963-01-01,33800003600.0,21719133877.17261,-102232742701.63106,145671010455.9763,40898100353.48607,-60810546621.91354,137944502915.07022,31308617115.329338
1964-01-01,36000002000.0,34307694374.391914,-89644182204.41171,158259570953.19556,55445284329.24726,-56206643401.14211,159993949315.065,44876489351.81959
1965-01-01,45299998700.0,39240677167.60681,-84711199411.19684,163192553746.41046,32958965104.441467,-77588275367.72171,140377974470.0796,36099821136.02414
1966-01-01,62999998500.0,47221340178.2587,-76730536400.54497,171173216757.06238,47414803779.2486,-57312864268.46074,149989523561.67914,47318071978.75365
1967-01-01,75300003800.0,72545089910.16037,-51406786668.64325,196496966488.964,61923996257.61626,-42810455380.66965,171774784854.24673,67234543083.88831
1968-01-01,61800001500.0,87685294790.0203,-36266581788.78334,211637171368.8239,76471180212.05884,-32547745266.219944,178664759760.94687,82078237501.03957
1969-01-01,63400001500.0,60566451296.5771,-63385425282.22655,184518327875.38074,53984860998.80847,-47962430133.30885,158039343699.67517,57275656147.69279
1970-01-01,78699896800.0,52844418954.76005,-71107457624.04361,176796295533.5637,68440699685.145035,-38149999774.51903,167129830979.99362,60642559319.952545
1971-01-01,82399903700.0,82680235309.7624,-41271641269.04123,206632111888.56604,82949892185.93364,-28291794059.57985,184084184503.52078,82815063747.84802
1972-01-01,71799996400.0,89887249760.70638,-34064626818.097275,213839126339.51,97497076162.79425,-3924936187.220511,207367635706.4084,93692162961.7503
1973-01-01,77999996900.0,66599655831.864,-57352220746.93964,190551532410.66763,75010756950.6666,-27289316568.64391,179656810129.85916,70805206391.26529
1974-01-01,96999997400.0,71029374733.49066,-52922501845.31297,194981251312.2943,89466595638.12001,-11550243268.62199,190065876700.47192,80247985185.80533
1975-01-01,106499997700.0,105217782646.94888,-18734093931.854767,229169659225.75253,103975788123.4402,-1498294297.6258461,208674383047.44324,104596785385.19455
1976-01-01,115000000500.0,118533461122.78534,-5418415456.018295,242485337701.589,118522972084.83063,5031397326.715843,226430582105.5379,118528216603.80798
1977-01-01,132900003800.0,120957982067.09723,-2993894511.7064056,244909858645.90088,96036652863.9219,-9477884479.235039,202244636646.42963,108497317465.50957
1978-01-01,148500004900.0,142047984645.78143,18096108066.977814,265999861224.58505,110492491542.61769,11324030535.229187,217236421234.4746,126270238094.19955
1979-01-01,161599995900.0,162334237875.484,38382361296.68036,286286114454.28766,125001684032.32706,18405607639.06124,227692639352.27466,143667960953.90552
1980-01-01,160599998500.0,173053646616.0733,49101770037.26965,297005523194.87695,139548867998.1177,30309093517.204395,244830397851.66003,156301257307.09552
1981-01-01,172200001500.0,164880189014.46686,40928312435.66321,288832065593.2705,117062548797.84485,12380917577.77806,215844937552.5345,140971368906.15585
1982-01-01,172674416728.57144,173137212131.47855,49185335552.67491,297089088710.28217,131518387497.11458,19458373537.260464,232862069601.66968,152327799814.29657
1983-01-01,173148831957.14285,176652958805.43347,52701082226.62984,300604835384.2371,146027580019.6529,39191493915.8281,246035707173.13742,161340269412.54318
1984-01-01,173623247185.7143,170484111828.7211,46532235249.917465,294435988407.5247,160574764018.28387,57627609278.21309,260316085547.6323,165529437923.5025
1985-01-01,174097662414.2857,170958527057.29245,47006650478.488815,294910403636.09607,138088444825.54547,27963281584.304836,238698117906.51773,154523485941.41895
1986-01-01,174572077642.85715,171432942285.8639,47481065707.06026,295384818864.66754,152544283550.5465,47618338824.265,256857916426.115,161988612918.2052
1987-01-01,175046492871.42856,171907357514.43533,47955480935.6317,295859234093.23895,167053476081.38956,72333990942.76129,279910133691.3311,169480416797.91245
1988-01-01,175520908100.0,172381772743.00674,48429896164.20311,296333649321.81036,181600681923.68573,80350757711.81187,284975352905.0574,176991227333.34625
1989-01-01,175995323328.57144,172856187971.5782,48904311392.77455,296808064550.38184,159114384644.33273,53747377617.880646,261417365177.90982,165985286307.95544
1990-01-01,176469738557.14285,173330603200.14963,49378726621.34596,297282479778.9533,173570470124.03885,76301785524.63025,279676819327.1608,173450536662.09424
1991-01-01,176944153785.7143,173805018428.72104,49853141849.91739,297756895007.52466,188079909409.62186,85179029608.53398,295895790085.0624,180942463919.17145
1992-01-01,177418569014.2857,174279433657.29248,50327557078.48883,298231310236.0961,202630192902.5501,97036708232.90134,312831565756.18866,188454813279.9213
